,Type of Account,Account History,Reason for the Loan,Loan Amount,Account Savings,Employment History,Individual Stauts,Other Loans,Security / Collateral,Age,Residence Status,Job,Completed Other loan?,Good Loan
656,Type B,Good,Renovation,675.0,500-1000,5-7 Years,Married,No,Property - Real Estate,21.0,Renting,Services,No,Yes
657,Type B,Good,Buying a New Car,1423.0,200-500,2-5 Years,Male,No,Property - Real Estate,33.0,Renting,Services,Yes,Yes
658,Type B,Good,Buying a New Car,3523.0,0-200,2-5 Years,Male,Yes,Savings Account,24.0,Renting,Skilled Labor,No,Yes
659,Type B,Good,Buying a Used Car,5445.0,No Data,Unemployed,Female,No,Savings Account,28.0,Renting,Professional / Management,No,Yes
660,Type B,Good,Home furniture,1392.0,0-200,2-5 Years,Female,No,Property - Real Estate,24.0,Renting,Skilled Labor,No,Yes
661,Type B,Good,Home furniture,1992.0,0-200,0-2 Years,Female,Yes,Vehicle,21.0,Renting,Skilled Labor,No,No
662,Type B,Good,Buying a Used Car,1248.0,500-1000,2-5 Years,Male,No,Savings Account,51.0,Renting,Skilled Labor,No,Yes
663,Type B,Good,Home furniture,1126.0,500-1000,2-5 Years,Female,No,Vehicle,31.0,Renting,Services,No,No
664,Type B,Good,Buying a New Car,2587.0,0-200,2-5 Years,Female,No,Property - Real Estate,22.0,Renting,Skilled Labor,No,No
665,Type B,Good,Buying a Used Car,2607.0,1000+,2-5 Years,Female,No,Vehicle,27.0,Renting,Skilled Labor,No,Yes
666,Type B,Good,Buying a Used Car,2920.0,No Data,0-2 Years,Female,No,Property - Real Estate,31.0,Renting,Skilled Labor,No,Yes
667,Type B,Good,Home furniture,3064.0,500-1000,7+ Years,Male,No,No Security,33.0,Renting,Skilled Labor,No,Yes
668,Type B,Good,Home furniture,2313.0,200-500,0-2 Years,Female,No,Savings Account,22.0,Renting,Skilled Labor,No,Yes
669,Type B,Good,Home furniture,610.0,0-200,0-2 Years,Female,No,Property - Real Estate,23.0,Renting,Services,No,Yes
670,Type B,Good,Buying a New Car,6767.0,No Data,2-5 Years,Male,No,Vehicle,69.0,Renting,Skilled Labor,No,No
671,Type B,Good,Buying a New Car,3578.0,200-500,2-5 Years,Male,Yes,Property - Real Estate,28.0,Renting,Skilled Labor,Yes,Yes
672,Type B,Good,Home furniture,2216.0,0-200,2-5 Years,Male,No,Property - Real Estate,24.0,Renting,Services,No,No
673,Type B,Good,Home furniture,2238.0,500-1000,2-5 Years,Female,No,Vehicle,18.0,Renting,Skilled Labor,No,Yes
674,Type B,Good,Home furniture,2191.0,No Data,5-7 Years,Female,No,Property - Real Estate,34.0,Renting,Services,No,Yes
675,Type B,Good,TV,1398.0,No Data,2-5 Years,Married,No,Property - Real Estate,41.0,Renting,Skilled Labor,No,Yes
676,Type B,Good,TV,3581.0,0-200,7+ Years,Female,No,Vehicle,52.0,Renting,Professional / Management,No,Yes
677,Type B,Good,TV,7179.0,No Data,5-7 Years,Married,No,Savings Account,28.0,Renting,Skilled Labor,No,Yes
678,Type B,Good,Support for Business,4862.0,0-200,Unemployed,Male,No,Vehicle,33.0,Renting,Professional / Management,No,No
679,Type C,Good,Home furniture,-548541254.0,No Data,Unemployed,Female_,No,Vehicle,327.0,House Owner,Skilled Labor,Yes,Yes
680,Type C,critical,TV,1182.0,No Data,7+ Years,Male,No,Property - Real Estate,68.0,House Owner,Skilled Labor,No,Yes
681,Type C,Good,Home furniture,7887.0,0-200,5-7 Years,Male,Yes,Savings Account,47.0,Free,Skilled Labor,No,Yes
682,Type C,Average (known delays),Buying a New Car,4889.0,0-200,2-5 Years,Male,No,No Security,52.0,Free,Skilled Labor,No,No
683,Type C,Good,Support for Business,4317.0,0-200,0-2 Years,Female,No,Savings Account,24.0,Renting,Skilled Labor,No,No
684,Type C,critical,Buying a New Car,1212.0,0-200,7+ Years,Male,No,Vehicle,59.0,House Owner,Services,No,No
685,Type C,Good,Buying a New Car,1423.0,0-200,2-5 Years,Female,No,Vehicle,27.0,Renting,Skilled Labor,No,Yes
686,Type C,Good,Buying a New Car,,,,,,,,,,,
687,Type C,Good,TV,1300.0,200-500,2-5 Years,Female,No,Vehicle,32.0,House Owner,Services,No,No
688,Type C,Good,Support for Business,8079.0,No Data,0-2 Years,Male,No,Vehicle,23.0,House Owner,Skilled Labor,No,Yes
689,Type C,Good,TV,2653.0,500-1000,2-5 Years,Male,No,Property - Real Estate,46.0,Renting,Skilled Labor,No,Yes
690,Type C,critical,Buying a New Car,2245.0,0-200,0-2 Years,Male,No,Property - Real Estate,49.0,Renting,Services,Yes,No
691,Type C,Good,Home furniture,1375.0,0-200,2-5 Years,Male,No,Property - Real Estate,35.0,House Owner,Services,No,Yes
692,Type C,Average (known delays),Support for Business,6855.0,0-200,7+ Years,Male,No,No Security,61.0,House Owner,Skilled Labor,No,No
693,Type C,Good,Home furniture,4026.0,0-200,2-5 Years,Male,No,Vehicle,28.0,House Owner,Skilled Labor,No,Yes
694,Type C,critical,Buying a Used Car,6197.0,200-500,5-7 Years,Married,No,Vehicle,24.0,Renting,Skilled Labor,No,Yes
695,Type C,critical,Buying a Used Car,6146.0,0-200,7+ Years,Female,No,No Security,58.0,Free,Services,No,No
696,Type C,Good,Buying a Used Car,1359.0,500-1000,Unemployed,Female,No,Savings Account,24.0,Renting,Not Employed,No,Yes
697,Type C,critical,Home furniture,6236.0,0-200,0-2 Years,Female,Yes,No Security,24.0,Renting,Services,No,No
698,Type C,critical,All other,1177.0,0-200,7+ Years,Male,No,No Security,52.0,Free,Professional / Management,No,No
699,Type C,Good,Learning / Edu purposes,1993.0,No Data,7+ Years,Male,No,No Security,40.0,House Owner,Professional / Management,No,No
700,Type C,critical,Buying a Used Car,1546.0,0-200,7+ Years,Male,No,No Security,64.0,Free,Professional / Management,No,No
701,Type C,Good,TV,3980.0,0-200,0-2 Years,Male,No,Vehicle,33.0,House Owner,Skilled Labor,No,No
702,Type C,Good,All other,1764.0,0-200,7+ Years,Female,Yes,Property - Real Estate,60.0,House Owner,Services,No,Yes
703,Type C,Good,TV,2326.0,0-200,7+ Years,Male,No,Property - Real Estate,51.0,House Owner,Services,No,Yes
704,Type C,Good,Buying a New Car,2251.0,200-500,5-7 Years,Male,No,Vehicle,29.0,House Owner,Professional / Management,No,Yes
705,Type C,Good,Renovation,1120.0,0-200,5-7 Years,Male,No,Property - Real Estate,26.0,House Owner,Skilled Labor,No,No
706,Type C,critical,Buying a Used Car,1415.0,0-200,7+ Years,Male,No,Property - Real Estate,53.0,House Owner,Skilled Labor,No,No
707,Type C,Good,Home furniture,7723.0,No Data,0-2 Years,Female,No,Savings Account,28.0,House Owner,Skilled Labor,Yes,Yes
708,Type C,Good,TV,1692.0,500-1000,7+ Years,Married,No,Property - Real Estate,37.0,House Owner,Skilled Labor,No,Yes
709,Type C,Good,TV,7182.0,No Data,5-7 Years,Female,No,Vehicle,30.0,House Owner,Professional / Management,No,No
710,Type C,critical,Home furniture,2145.0,No Data,0-2 Years,Female,Yes,Property - Real Estate,26.0,Renting,Skilled Labor,Yes,Yes
711,Type C,critical,Home furniture,4286.0,500-1000,2-5 Years,Female,No,Vehicle,22.0,House Owner,Skilled Labor,No,No
712,Type C,Good,TV,1851.0,0-200,2-5 Years,Female,No,Property - Real Estate,24.0,House Owner,Skilled Labor,No,No
713,Type C,critical,Buying a New Car,2129.0,0-200,2-5 Years,Male,No,Savings Account,30.0,House Owner,Skilled Labor,No,No
714,Type C,Good,TV,704.0,0-200,2-5 Years,Married,No,Property - Real Estate,42.0,House Owner,Services,No,Yes
715,Type C,critical,Buying a New Car,3507.0,0-200,2-5 Years,Female,Yes,Property - Real Estate,27.0,House Owner,Skilled Labor,No,No
716,Type C,Average (known delays),Learning / Edu purposes,6891.0,0-200,2-5 Years,Male,No,Savings Account,30.0,House Owner,Skilled Labor,No,No
717,Type C,Good,TV,3423.0,0-200,2-5 Years,Male,No,Vehicle,25.0,House Owner,Professional / Management,No,Yes
718,Type C,Good,Home furniture,2470.0,0-200,2-5 Years,Male,No,Vehicle,21.0,House Owner,Skilled Labor,No,No
719,Type C,critical,Buying a New Car,872.0,0-200,7+ Years,Female,No,No Security,41.0,House Owner,Skilled Labor,No,No
720,Type C,critical,Home furniture,5386.0,0-200,2-5 Years,Male,Yes,Savings Account,26.0,House Owner,Skilled Labor,No,No
721,Type C,critical,Home furniture,5387.0,,,,,,,,,,
722,Type C,Good,Home furniture,1301.0,0-200,2-5 Years,Female,No,Vehicle,22.0,Renting,Skilled Labor,No,No
723,Type C,critical,Renovation,1292.0,200-500,7+ Years,Male,Yes,Property - Real Estate,50.0,House Owner,Skilled Labor,Yes,Yes
724,Type C,Average (known delays),Advance Edu/training,345.0,0-200,7+ Years,Married,No,Vehicle,45.0,House Owner,Services,No,No
725,Type C,Good,Home furniture,1141.0,0-200,Unemployed,Female,No,Vehicle,33.0,House Owner,Skilled Labor,No,No
726,Type C,Good,Buying a New Car,953.0,0-200,7+ Years,Male,No,Vehicle,34.0,Renting,Skilled Labor,No,No
727,Type C,Average (known delays),Learning / Edu purposes,3418.0,0-200,0-2 Years,Male,No,Savings Account,27.0,House Owner,Skilled Labor,No,No
728,Type C,Good,Home furniture,2589.0,0-200,2-5 Years,Divorced,No,Vehicle,42.0,House Owner,Skilled Labor,No,Yes
729,Type C,critical,TV,349.0,500-1000,7+ Years,Male,No,Vehicle,50.0,House Owner,Skilled Labor,No,Yes
730,Type C,critical,Buying a New Car,590.0,0-200,7+ Years,Male,No,Property - Real Estate,65.0,House Owner,Skilled Labor,No,No
731,Type C,Average (known delays),Buying a New Car,1665.0,No Data,2-5 Years,Male,No,Savings Account,42.0,House Owner,Services,No,No
732,Type C,Good,TV,683.0,200-500,5-7 Years,Married,No,Savings Account,20.0,House Owner,Skilled Labor,No,No
733,Type C,Good,Buying a New Car,1185.0,0-200,2-5 Years,Married,No,Property - Real Estate,25.0,House Owner,Services,No,Yes
734,Type C,Good,Advance Edu/training,913.0,0-200,5-7 Years,Married,No,Savings Account,21.0,Renting,Skilled Labor,No,No
735,Type C,critical,Buying a Used Car,10627.0,0-200,7+ Years,Male,No,No Security,38.0,Free,Professional / Management,No,No
736,Type C,Good,Support for Business,6588.0,0-200,2-5 Years,Married,No,Vehicle,20.0,House Owner,Services,No,Yes
737,Type C,Good,,,,,,,,,,,,
738,Type C,Good,Support for Business,5303.0,0-200,Unemployed,Male,No,Savings Account,48.0,House Owner,Skilled Labor,No,No
739,Type C,Good,Support for Business,3117.0,0-200,5-7 Years,Male,No,Savings Account,29.0,House Owner,Skilled Labor,No,Yes
740,Type C,Good,Home furniture,3041.0,0-200,2-5 Years,Divorced,No,Property - Real Estate,25.0,Renting,Services,No,Yes
741,Type C,Good,Learning / Edu purposes,1213.0,No Data,2-5 Years,Female,No,Savings Account,22.0,Renting,Skilled Labor,No,Yes
742,Type C,Good,Home furniture,7883.0,0-200,7+ Years,Male,No,No Security,51.0,Free,Professional / Management,No,No
743,Type C,Good,Home furniture,3165.0,0-200,0-2 Years,Male,No,No Security,20.0,Free,Skilled Labor,No,Yes
744,Type C,Good,TV,1824.0,0-200,Unemployed,Male,No,Vehicle,32.0,House Owner,Professional / Management,No,No
745,Type C,Good,TV,2525.0,0-200,7+ Years,Male,Yes,Savings Account,41.0,House Owner,Skilled Labor,No,Yes
746,Type C,Good,Buying a New Car,933.0,No Data,7+ Years,Female,No,Vehicle,30.0,House Owner,Skilled Labor,No,No
747,Type C,Good,Buying a Used Car,4617.0,0-200,7+ Years,Male,No,No Security,25.0,Free,Skilled Labor,No,No
748,Type C,critical,Buying a New Car,676.0,1000+,5-7 Years,Female,No,Property - Real Estate,41.0,House Owner,Services,No,Yes
749,Type C,Average (known delays),TV,2157.0,0-200,2-5 Years,Divorced,No,No Security,27.0,Free,Skilled Labor,No,No
750,Type C,Good,Home furniture,1667.0,0-200,2-5 Years,Male,No,Property - Real Estate,26.0,House Owner,Skilled Labor,No,Yes
751,Type C,Good,TV,1614.0,0-200,7+ Years,Female,No,Vehicle,56.0,House Owner,Skilled Labor,No,Yes
752,Type C,critical,Buying a New Car,5309.0,0-200,7+ Years,Male,No,No Security,37.0,Free,Professional / Management,No,No
753,Type C,Good,Buying a New Car,8990.0,0-200,7+ Years,Divorced,No,Savings Account,47.0,House Owner,Professional / Management,Yes,No
754,Type C,Good,Renovation,12018.0,0-200,0-2 Years,Divorced,No,No Security,34.0,House Owner,Services,No,No
755,Type C,Good,Home furniture,1281.0,No Data,7+ Years,Divorced,No,Savings Account,50.0,House Owner,Services,No,Yes
756,Type C,Good,Buying a New Car,10735.0,0-200,0-2 Years,Female,No,Property - Real Estate,35.0,House Owner,Services,No,Yes
757,Type C,Good,Buying a Used Car,4792.0,0-200,5-7 Years,Male,No,Savings Account,25.0,House Owner,Skilled Labor,No,Yes
758,Type C,Average (known delays),TV,1030.0,0-200,0-2 Years,Married,No,Property - Real Estate,48.0,House Owner,Skilled Labor,No,No
759,Type C,critical,Buying a Used Car,6430.0,0-200,7+ Years,Female,No,No Security,46.0,Free,Professional / Management,No,No
760,Type C,critical,Buying a New Car,1050.0,0-200,5-7 Years,Male,Yes,Savings Account,47.0,House Owner,Skilled Labor,No,No
761,Type C,Good,TV,747.0,200-500,0-2 Years,Married,No,No Security,31.0,House Owner,Services,No,No
762,Type C,Average (known delays),Home furniture,2748.0,0-200,7+ Years,Male,No,Vehicle,29.0,House Owner,Skilled Labor,No,No
763,Type C,Good,Home furniture,710.0,0-200,2-5 Years,Male,Yes,Savings Account,37.0,House Owner,Services,No,Yes
764,Type C,Average (known delays),Home furniture,3651.0,0-200,7+ Years,Female,No,Savings Account,28.0,House Owner,Services,No,No
765,Type C,Good,TV,1943.0,0-200,0-2 Years,Divorced,No,Savings Account,32.0,House Owner,Skilled Labor,No,No
766,Type C,Good,Buying a Used Car,2927.0,0-200,5-7 Years,Male,No,No Security,32.0,Free,Professional / Management,No,Yes
767,Type C,Good,Home furniture,2678.0,1000+,2-5 Years,Male,No,Vehicle,30.0,House Owner,Skilled Labor,No,Yes
768,Type C,critical,Buying a New Car,3401.0,0-200,5-7 Years,Male,No,Property - Real Estate,38.0,House Owner,Services,Yes,No
769,Type C,critical,Buying a Used Car,6626.0,0-200,Unemployed,Male,No,No Security,73.0,Free,Professional / Management,No,No
770,Type C,Good,Home furniture,4113.0,0-200,7+ Years,Male,No,No Security,21.0,Renting,Skilled Labor,No,No
771,Type C,critical,Home furniture,3404.0,0-200,2-5 Years,Divorced,No,Property - Real Estate,42.0,Renting,Professional / Management,No,No
772,Type C,Good,Home Devices,1288.0,No Data,2-5 Years,Female,No,Vehicle,26.0,Renting,Skilled Labor,No,No
773,Type C,Good,Home furniture,4177.0,0-200,2-5 Years,Male,No,Savings Account,29.0,House Owner,Skilled Labor,No,Yes
774,Type C,Good,Home furniture,3605.0,0-200,5-7 Years,Female,No,Vehicle,27.0,Renting,Services,No,Yes
775,Type C,Good,TV,6212.0,0-200,2-5 Years,Male,No,Savings Account,28.0,Renting,Skilled Labor,No,No
776,Type C,Good,Home furniture,2414.0,0-200,5-7 Years,Female,No,Property - Real Estate,21.0,Renting,Skilled Labor,No,No
777,Type C,Good,Home furniture,2474.0,0-200,Unemployed,Male,No,Vehicle,24.0,House Owner,Not Employed,No,No
778,Type C,Good,Home furniture,3651.0,0-200,0-2 Years,Female,No,Vehicle,21.0,Renting,Skilled Labor,No,Yes
779,Type C,Good,Home furniture,3456.0,0-200,7+ Years,Male,No,Vehicle,43.0,House Owner,Skilled Labor,No,No
780,Type C,Average (known delays),Support for Business,7686.0,0-200,5-7 Years,Female,Yes,Vehicle,37.0,Renting,Skilled Labor,No,No
781,Type C,Good,Home furniture,2231.0,No Data,5-7 Years,Male,No,Vehicle,41.0,House Owner,Skilled Labor,No,Yes
782,Type C,Good,Buying a New Car,3251.0,0-200,5-7 Years,Male,No,No Security,40.0,Free,Professional / Management,No,Yes
783,Type C,critical,TV,1965.0,0-200,5-7 Years,Female,No,Vehicle,33.0,House Owner,Skilled Labor,No,No
784,Type C,Good,Home furniture,2582.0,0-200,Unemployed,Female,No,No Security,55.0,Free,Professional / Management,No,Yes
785,Type C,critical,Home furniture,2354.0,0-200,2-5 Years,Married,No,Savings Account,45.0,House Owner,Skilled Labor,No,No
786,Type C,Good,TV,1065.0,0-200,0-2 Years,Married,No,Property - Real Estate,28.0,House Owner,Skilled Labor,Yes,Yes
787,Type C,Good,Buying a New Car,1400.0,No Data,2-5 Years,Female,No,Savings Account,36.0,House Owner,Skilled Labor,No,No
788,Type C,Good,Buying a New Car,2591.0,0-200,0-2 Years,Male,No,Property - Real Estate,32.0,House Owner,Services,No,No
789,Type C,Average (known delays),Learning / Edu purposes,8472.0,No Data,2-5 Years,Female,No,Vehicle,21.0,Renting,Skilled Labor,No,Yes
790,Type C,critical,Renovation,1208.0,0-200,Unemployed,Female,No,No Security,53.0,Free,Not Employed,No,No
791,Type C,critical,Home furniture,1876.0,0-200,Unemployed,Male,No,No Security,35.0,Free,Professional / Management,No,No
792,Type C,Good,Home furniture,2151.0,0-200,2-5 Years,Male,No,Property - Real Estate,25.0,House Owner,Skilled Labor,No,Yes
793,Type C,critical,Renovation,3405.0,0-200,Unemployed,Male,Yes,Vehicle,64.0,House Owner,Not Employed,No,No
794,Type C,Good,Home furniture,1624.0,0-200,2-5 Years,Female,Yes,Savings Account,29.0,House Owner,Skilled Labor,No,Yes
795,Type C,Good,Buying a New Car,1849.0,0-200,0-2 Years,Female,No,Vehicle,34.0,House Owner,Skilled Labor,No,No
796,Type C,Good,Buying a New Car,4825.0,0-200,5-7 Years,Male,Yes,Savings Account,32.0,House Owner,Skilled Labor,No,No
797,Type C,critical,Buying a New Car,3910.0,0-200,2-5 Years,Male,No,Property - Real Estate,38.0,Renting,Skilled Labor,No,No
798,Type C,Good,Buying a Used Car,3392.0,0-200,7+ Years,Male,No,No Security,33.0,Free,Skilled Labor,No,No
799,Type C,Good,Home Devices,352.0,0-200,0-2 Years,Female,No,Property - Real Estate,28.0,House Owner,Skilled Labor,No,Yes
800,Type C,Good,Home furniture,3628.0,0-200,2-5 Years,Male,Yes,Savings Account,35.0,House Owner,Skilled Labor,No,Yes
801,Type C,Good,Buying a New Car,1738.0,0-200,0-2 Years,Male,No,Property - Real Estate,35.0,House Owner,Skilled Labor,No,Yes
802,Type C,Good,Buying a Used Car,2928.0,0-200,2-5 Years,Male,Yes,No Security,62.0,House Owner,Skilled Labor,No,Yes
803,Type C,Average (known delays),TV,1667.0,0-200,0-2 Years,Female,No,Vehicle,31.0,Renting,Services,No,No
804,Type C,Good,Learning / Edu purposes,451.0,0-200,0-2 Years,Female,No,Savings Account,21.0,House Owner,Skilled Labor,No,No
805,Type C,Good,Buying a New Car,656.0,0-200,2-5 Years,Male,No,Vehicle,27.0,House Owner,Services,No,No
806,Type C,Good,Home furniture,3122.0,0-200,0-2 Years,Female,No,Savings Account,25.0,Renting,Skilled Labor,No,No
807,Type C,critical,Home furniture,1482.0,0-200,7+ Years,Male,No,Vehicle,45.0,House Owner,Skilled Labor,No,No
808,Type C,Good,Home furniture,3637.0,1000+,7+ Years,Female,No,Savings Account,57.0,Renting,Skilled Labor,No,Yes
809,Type C,critical,Buying a New Car,2125.0,0-200,2-5 Years,Male,No,Property - Real Estate,37.0,Renting,Services,Yes,No
810,Type C,Good,Home furniture,2997.0,No Data,2-5 Years,Married,No,Vehicle,20.0,House Owner,Skilled Labor,No,No
811,Type C,Good,Buying a New Car,3127.0,0-200,0-2 Years,Female,No,Savings Account,29.0,House Owner,Skilled Labor,No,No
812,Type C,Good,Buying a Used Car,5501.0,0-200,7+ Years,Male,No,No Security,41.0,Free,Skilled Labor,No,Yes
813,Type C,Good,Buying a New Car,1208.0,0-200,0-2 Years,Female,No,Savings Account,24.0,Renting,Skilled Labor,No,No
814,Type C,Good,Buying a New Car,776.0,0-200,5-7 Years,Male,No,Property - Real Estate,25.0,House Owner,Skilled Labor,No,No
815,Type C,critical,Buying a New Car,621.0,0-200,5-7 Years,Female,No,Savings Account,37.0,House Owner,Skilled Labor,Yes,No
816,Type C,critical,Buying a New Car,1364.0,0-200,0-2 Years,Male,No,Property - Real Estate,39.0,House Owner,Services,Yes,No
817,Type C,Good,Buying a New Car,1216.0,200-500,7+ Years,Male,No,Savings Account,41.0,House Owner,Skilled Labor,No,Yes
818,Type C,Good,TV,3191.0,0-200,2-5 Years,Female,No,Property - Real Estate,24.0,House Owner,Skilled Labor,No,No
819,Type C,Good,Home furniture,7130.0,0-200,2-5 Years,Male,No,No Security,53.0,Free,Skilled Labor,No,No
820,Type C,Good,TV,2305.0,0-200,2-5 Years,Divorced,No,Vehicle,31.0,Renting,Skilled Labor,No,No
821,Type C,Good,Buying a New Car,665.0,0-200,0-2 Years,Male,No,Property - Real Estate,43.0,House Owner,Services,No,Yes
822,Type C,Good,Buying a New Car,1394.0,No Data,Unemployed,Female,No,Savings Account,75.0,House Owner,Professional / Management,No,Yes
823,Type C,Good,Buying a New Car,7775.0,0-200,7+ Years,Male,No,No Security,40.0,Free,Professional / Management,No,No
824,Type C,Good,Home furniture,6363.0,No Data,7+ Years,Male,No,Savings Account,30.0,House Owner,Skilled Labor,No,No
825,Type C,Average (known delays),Buying a New Car,1341.0,0-200,Unemployed,Male,No,Property - Real Estate,45.0,Free,Skilled Labor,No,No
826,Type C,Average (known delays),TV,627.0,0-200,2-5 Years,Female,No,Property - Real Estate,26.0,House Owner,Services,No,No
827,Type C,Good,TV,7016.0,0-200,5-7 Years,Married,Yes,Property - Real Estate,34.0,House Owner,Skilled Labor,No,No
828,Type C,Average (known delays),Home furniture,3555.0,0-200,5-7 Years,Male,No,Vehicle,26.0,House Owner,Skilled Labor,No,No
829,Type C,Good,Buying a Used Car,2970.0,No Data,7+ Years,Male,No,No Security,47.0,Free,Skilled Labor,No,Yes
830,Type C,Average (known delays),TV,1552.0,0-200,5-7 Years,Male,Yes,Vehicle,22.0,Renting,Services,No,No
831,Type C,Good,Buying a New Car,1391.0,0-200,5-7 Years,Divorced,No,Vehicle,37.0,House Owner,Skilled Labor,No,No
832,Type C,Good,TV,6768.0,0-200,2-5 Years,Female,No,Vehicle,30.0,House Owner,Skilled Labor,No,No
833,Type C,Good,Home furniture,3245.0,0-200,0-2 Years,Female,No,Property - Real Estate,22.0,Renting,Services,No,No
834,Type C,Good,Support for Business,816.0,0-200,2-5 Years,Female,No,Savings Account,21.0,House Owner,Services,No,Yes
835,Type C,Good,Home furniture,2054.0,0-200,2-5 Years,Female,No,Property - Real Estate,18.0,Renting,Skilled Labor,No,No
836,Type C,critical,Buying a New Car,2804.0,0-200,2-5 Years,Male,No,Property - Real Estate,38.0,Renting,Skilled Labor,No,No
837,Type C,Good,Home furniture,1305.0,0-200,2-5 Years,Male,Yes,Savings Account,19.0,House Owner,Services,No,Yes
838,Type C,Good,Home Devices,1237.0,0-200,2-5 Years,Married,No,Property - Real Estate,49.0,House Owner,Services,No,No
839,Type C,critical,Home furniture,2247.0,0-200,7+ Years,Male,No,Savings Account,58.0,House Owner,Skilled Labor,No,No
840,Type C,critical,TV,389.0,0-200,5-7 Years,Female,No,Property - Real Estate,58.0,House Owner,Services,No,No
841,Type C,Average (known delays),All other,1376.0,No Data,7+ Years,Male,No,Vehicle,39.0,House Owner,Professional / Management,No,No
842,Type C,Good,Buying a New Car,1446.0,0-200,5-7 Years,Female,No,Vehicle,23.0,Renting,Skilled Labor,No,No
843,Type C,Average (known delays),Home furniture,2836.0,500-1000,2-5 Years,Male,No,Property - Real Estate,22.0,House Owner,Skilled Labor,No,Yes
844,Type C,Good,Home Devices,754.0,200-500,Unemployed,Female,No,Savings Account,24.0,House Owner,Skilled Labor,No,No
845,Type C,Good,TV,3369.0,1000+,0-2 Years,Female,No,Vehicle,27.0,House Owner,Skilled Labor,No,Yes
846,Type C,Average (known delays),Buying a Used Car,3640.0,0-200,2-5 Years,Female,Yes,Vehicle,24.0,Renting,Skilled Labor,Yes,No
847,Type C,critical,Buying a New Car,3694.0,0-200,2-5 Years,Male,No,Property - Real Estate,35.0,Renting,Skilled Labor,No,No
848,Type C,Good,Home furniture,1871.0,0-200,0-2 Years,Female,No,Vehicle,22.0,Renting,Skilled Labor,No,Yes
849,Type C,Good,TV,2612.0,0-200,2-5 Years,Male,No,No Security,65.0,Free,Skilled Labor,No,No
850,Type C,Good,TV,3674.0,0-200,2-5 Years,Female,No,Vehicle,29.0,House Owner,Skilled Labor,No,Yes
851,Type C,Average (known delays),Home furniture,1571.0,0-200,2-5 Years,Male,No,Vehicle,42.0,House Owner,Skilled Labor,No,No
852,Type C,Average (known delays),TV,4372.0,0-200,5-7 Years,Male,No,Savings Account,24.0,House Owner,Skilled Labor,No,No
853,Type C,Good,Learning / Edu purposes,765.0,0-200,Unemployed,Female,No,Property - Real Estate,28.0,House Owner,Not Employed,No,No
854,Type C,critical,TV,1883.0,0-200,5-7 Years,Married,No,Savings Account,30.0,House Owner,Professional / Management,No,No
855,Type C,Good,Home furniture,4587.0,0-200,2-5 Years,Divorced,Yes,Property - Real Estate,30.0,House Owner,Skilled Labor,No,Yes
856,Type C,Good,Learning / Edu purposes,702.0,0-200,2-5 Years,Male,No,Vehicle,39.0,Renting,Services,No,No
857,Type C,Good,Learning / Edu purposes,7495.0,0-200,5-7 Years,Male,No,No Security,52.0,Free,Professional / Management,No,Yes
858,Type C,Good,Buying a New Car,2317.0,0-200,7+ Years,Male,Yes,Property - Real Estate,45.0,House Owner,Skilled Labor,No,No
859,Type C,Good,Buying a New Car,3975.0,0-200,Unemployed,Male,No,No Security,23.0,Free,Skilled Labor,No,Yes
860,Type C,Good,Buying a New Car,906.0,No Data,2-5 Years,Married,No,Vehicle,24.0,House Owner,Skilled Labor,No,No
861,Type C,critical,Buying a New Car,4854.0,0-200,7+ Years,Male,Yes,Savings Account,44.0,Renting,Skilled Labor,No,No
862,Type C,Good,TV,2399.0,0-200,7+ Years,Male,No,Property - Real Estate,63.0,Renting,Services,No,Yes
863,Type C,Good,Buying a New Car,3667.0,1000+,2-5 Years,Male,No,Savings Account,30.0,House Owner,Skilled Labor,No,Yes
864,Type C,critical,Home furniture,983.0,0-200,2-5 Years,Divorced,No,Savings Account,27.0,House Owner,Skilled Labor,No,No
865,Type C,critical,Buying a New Car,4720.0,No Data,0-2 Years,Male,No,Property - Real Estate,42.0,House Owner,Services,No,Yes
866,Type C,critical,Buying a Used Car,6351.0,0-200,7+ Years,Male,No,No Security,45.0,Free,Skilled Labor,No,No
867,Type C,Average (known delays),Learning / Edu purposes,1210.0,0-200,7+ Years,Female,No,No Security,33.0,Free,Skilled Labor,No,No
868,Type C,critical,TV,1149.0,0-200,2-5 Years,Male,No,Property - Real Estate,24.0,House Owner,Services,No,No
869,Type C,Good,Buying a New Car,1238.0,0-200,2-5 Years,Female,No,Property - Real Estate,24.0,House Owner,Services,No,No
870,Type C,Good,TV,1885.0,0-200,2-5 Years,Female,No,Vehicle,27.0,Renting,Skilled Labor,No,No
871,Type C,Good,TV,1988.0,0-200,2-5 Years,Male,No,Property - Real Estate,23.0,Renting,Services,No,No
872,Type C,Good,Buying a New Car,4382.0,200-500,2-5 Years,Male,No,Vehicle,37.0,House Owner,Services,No,Yes
873,Type C,Average (known delays),Buying a New Car,2330.0,200-500,5-7 Years,Male,No,Vehicle,31.0,House Owner,Skilled Labor,No,Yes
874,Type C,Average (known delays),Home furniture,2503.0,500-1000,2-5 Years,Male,No,Property - Real Estate,20.0,House Owner,Skilled Labor,No,Yes
875,Type C,critical,Home furniture,14183.0,No Data,5-7 Years,Male,No,Savings Account,28.0,House Owner,Professional / Management,No,Yes
